,pair,i,dist,ln(dj)
147,"[5, 233]",22,0.6228964600960099,-0.4733749696792514
148,"[5, 233]",23,0.4854894437575985,-0.7225977345198934
149,"[5, 233]",24,0.6841052550594987,-0.3796434915322219
150,"[6, 233]",0,1.9041270965982378,0.6440236865563711
151,"[6, 233]",1,1.999224849785448,0.6927595303260252
152,"[6, 233]",2,2.1324164696416865,0.7572558294602247
153,"[6, 233]",3,1.9461757371830144,0.6658662865635842
154,"[6, 233]",4,1.8506755523321465,0.6155507358570791
155,"[6, 233]",5,1.4962620091414691,0.40297000401754846
156,"[6, 233]",6,1.1305308487607908,0.12268730007768525
157,"[6, 233]",7,1.5938946012831599,0.46618045602574665
158,"[6, 233]",8,1.6807438829281436,0.5192364828709579
159,"[6, 233]",9,0.9192388155424944,-0.08420932581250049
160,"[6, 233]",10,0.8321658488548368,-0.1837235204601116
161,"[6, 233]",11,0.3848376280977339,-0.9549337788545641
162,"[6, 233]",12,0.35014282800036806,-1.0494141277396243
163,"[6, 233]",13,0.18027756377322468,-1.7132575948230828
164,"[6, 233]",14,1.060424443324409,0.05866924620856451
165,"[6, 233]",15,1.6949926253524696,0.5276783899984471
166,"[6, 233]",16,2.14273190110196,0.7620816041864352
167,"[6, 233]",17,2.3325736858672026,0.8469722441802296
168,"[6, 233]",18,2.260132739464753,0.8154235458358439
169,"[6, 233]",19,1.9836582366931388,0.6849427342929886
170,"[6, 233]",20,2.0540691322348077,0.7198227683084255
171,"[6, 233]",21,1.1002272492536935,0.09551674869813224
172,"[6, 233]",22,0.4780167361087495,-0.7381095343238034
173,"[6, 233]",23,0.5672741841474388,-0.566912522211706
174,"[6, 233]",24,0.5913543776788166,-0.5253398174565458
175,"[7, 206]",0,0.8590692637965145,-0.15190572719090992
176,"[7, 206]",1,1.0159724405710815,0.015846223366225348
177,"[7, 206]",2,1.3536617007213452,0.3028132915151717
178,"[7, 206]",3,1.50083310198038,0.406020355250189
179,"[7, 206]",4,0.9929753269845439,-0.007049462189719402
180,"[7, 206]",5,0.6992138442563984,-0.3577986546989619
181,"[7, 206]",6,1.4322360140703203,0.35923686925298653
182,"[7, 206]",7,1.4990663761154035,0.4048424984038969
183,"[7, 206]",8,0.5277309920783574,-0.6391686098073861
184,"[7, 206]",9,0.72498275841573,-0.32160740590579134
185,"[7, 206]",10,0.26627053911383264,-1.3232424227222317
186,"[7, 206]",11,0.6606814663663965,-0.4144834518511807
187,"[7, 206]",12,0.6850547423380394,-0.3782565280910556
188,"[7, 206]",13,1.5673225577397465,0.44936878631325466
189,"[7, 206]",14,2.0924626639440196,0.7383416804237518
190,"[7, 206]",15,2.4907027120873724,0.9125648843515314
191,"[7, 206]",16,2.5817242300446215,0.9484574819352166
192,"[7, 206]",17,2.508904143246744,0.9198460614917329
193,"[7, 206]",18,1.9944422779313131,0.6903644513234851
194,"[7, 206]",19,2.0277327240048466,0.7069182841464713
195,"[7, 206]",20,1.1407015385280346,0.1316434578086162
196,"[7, 206]",21,1.1403946685248725,0.13137440295326683
197,"[7, 206]",22,1.3903237033152238,0.3295366001131379
198,"[7, 206]",23,1.3800362314084946,0.3221097534683029
199,"[7, 206]",24,1.6316862443495894,0.48961398582231386
200,"[8, 206]",0,0.9199999999998454,-0.08338160893921912
201,"[8, 206]",1,0.9684007434941945,-0.03210928616326764
202,"[8, 206]",2,1.2319902597017705,0.20863095899384948
203,"[8, 206]",3,0.9404786015641722,-0.061366382691091494
204,"[8, 206]",4,0.6476109943475932,-0.43446508025730374
